ProbeName	circRNA
ASCRP3000499	hsa_circRNA_007468
ASCRP3000500	hsa_circRNA_103424
ASCRP3000501	hsa_circRNA_003200
ASCRP3000502	hsa_circRNA_000958
ASCRP3000503	hsa_circRNA_101406
ASCRP3000504	hsa_circRNA_407149
ASCRP3000505	hsa_circRNA_101619
ASCRP3000506	hsa_circRNA_406565
ASCRP3000507	hsa_circRNA_000224
ASCRP3000508	hsa_circRNA_021526
ASCRP3000509	hsa_circRNA_083423
ASCRP3000510	hsa_circRNA_101335
ASCRP3000511	hsa_circRNA_000859
ASCRP3000512	hsa_circRNA_070829
ASCRP3000513	hsa_circRNA_103361
ASCRP3000514	hsa_circRNA_405928
ASCRP3000515	hsa_circRNA_102927
ASCRP3000516	hsa_circRNA_406694
ASCRP3000517	hsa_circRNA_001526
ASCRP3000518	hsa_circRNA_104975
ASCRP3000519	hsa_circRNA_048410
ASCRP3000520	hsa_circRNA_018634
ASCRP3000521	hsa_circRNA_406730
ASCRP3000522	hsa_circRNA_405841
ASCRP3000523	hsa_circRNA_005585
ASCRP3000524	hsa_circRNA_004580
ASCRP3000525	hsa_circRNA_001985
ASCRP3000526	hsa_circRNA_092566
ASCRP3000527	hsa_circRNA_104672
ASCRP3000528	hsa_circRNA_015524
ASCRP3000529	hsa_circRNA_092436
ASCRP3000530	hsa_circRNA_407079
ASCRP3000531	hsa_circRNA_104210
ASCRP3000532	hsa_circRNA_104782
ASCRP3000533	hsa_circRNA_406798
ASCRP3000534	hsa_circRNA_400584
ASCRP3000535	hsa_circRNA_034693
ASCRP3000536	hsa_circRNA_102032
ASCRP3000537	hsa_circRNA_001937
ASCRP3000538	hsa_circRNA_030431
ASCRP3000539	hsa_circRNA_092519
ASCRP3000540	hsa_circRNA_405113
ASCRP3000541	hsa_circRNA_000464
ASCRP3000542	hsa_circRNA_063453
ASCRP3000543	hsa_circRNA_042079
ASCRP3000544	hsa_circRNA_101034
ASCRP3000545	hsa_circRNA_006192
ASCRP3000546	hsa_circRNA_079279
ASCRP3000547	hsa_circRNA_047448
ASCRP3000548	hsa_circRNA_104084
ASCRP3000549	hsa_circRNA_070692
ASCRP3000550	hsa_circRNA_103514
ASCRP3000551	hsa_circRNA_101992
ASCRP3000552	hsa_circRNA_092416
ASCRP3000553	hsa_circRNA_090797
ASCRP3000554	hsa_circRNA_406091
ASCRP3000555	hsa_circRNA_102346
ASCRP3000556	hsa_circRNA_101825
ASCRP3000557	hsa_circRNA_002567
ASCRP3000558	hsa_circRNA_101630
ASCRP3000559	hsa_circRNA_007258
ASCRP3000560	hsa_circRNA_406699
ASCRP3000561	hsa_circRNA_001830
ASCRP3000562	hsa_circRNA_407136
ASCRP3000563	hsa_circRNA_101890
ASCRP3000564	hsa_circRNA_101355
ASCRP3000565	hsa_circRNA_101129
ASCRP3000566	hsa_circRNA_062557
ASCRP3000567	hsa_circRNA_102750
ASCRP3000568	hsa_circRNA_405401
ASCRP3000569	hsa_circRNA_401988
ASCRP3000570	hsa_circRNA_104424
ASCRP3000571	hsa_circRNA_405334
